Player,Stat,Threshold,Percentage
Jalen Brunson,Pts+Asts,32.0,30.0
Franz Wagner,Pts+Asts,28.5,23.333333333333332
Julius Randle,Pts+Asts,28.5,50.0
Jalen Suggs,Pts+Asts,15.5,38.46153846153847
RJ Barrett,Pts+Asts,18.5,52.0
Cole Anthony,Pts+Asts,17.5,60.0
Donte DiVincenzo,Pts+Asts,10.5,50.0
Immanuel Quickley,Pts+Asts,15.5,58.620689655172406
Josh Hart,Pts+Asts,10.5,50.0
Kyle Kuzma,Pts+Asts,25.5,46.666666666666664
Mikal Bridges,Pts+Asts,26.5,35.483870967741936
Jordan Poole,Pts+Asts,23.5,37.93103448275862
Cam Thomas,Pts+Asts,24.5,54.54545454545454
Tyus Jones,Pts+Asts,19.0,43.333333333333336
Cameron Johnson,Pts+Asts,17.5,52.17391304347826
Daniel Gafford,Pts+Asts,13.5,37.03703703703704
Spencer Dinwiddie,Pts+Asts,21.5,48.275862068965516
Deni Avdija,Pts+Asts,13.5,56.666666666666664
Corey Kispert,Pts+Asts,12.5,48.275862068965516
Dorian Finney-Smith,Pts+Asts,10.5,57.14285714285714
Day'Ron Sharpe,Pts+Asts,10.5,38.70967741935484
Dennis Smith Jr.,Pts+Asts,11.5,35.294117647058826
Donovan Mitchell,Pts+Asts,37.0,31.818181818181817
Giannis Antetokounmpo,Pts+Asts,37.5,50.0
Damian Lillard,Pts+Asts,31.5,58.620689655172406
Khris Middleton,Pts+Asts,22.5,23.076923076923077
Brook Lopez,Pts+Asts,13.5,54.83870967741935
Malik Beasley,Pts+Asts,10.5,51.724137931034484
Trae Young,Pts+Asts,40.5,42.857142857142854
De'Aaron Fox,Pts+Asts,37.0,39.130434782608695
Dejounte Murray,Pts+Asts,25.5,53.333333333333336
Domantas Sabonis,Pts+Asts,29.5,37.93103448275862
Saddiq Bey,Pts+Asts,15.5,43.333333333333336
Keegan Murray,Pts+Asts,17.5,40.0
Clint Capela,Pts+Asts,13.5,55.172413793103445
Harrison Barnes,Pts+Asts,13.5,37.93103448275862
Jalen Johnson,Pts+Asts,15.0,50.0
Kevin Huerter,Pts+Asts,11.5,57.14285714285714
Bogdan Bogdanovic,Pts+Asts,21.5,39.285714285714285
Malik Monk,Pts+Asts,18.5,42.857142857142854
Onyeka Okongwu,Pts+Asts,10.5,50.0
Scottie Barnes,Pts+Asts,27.5,43.333333333333336
Pascal Siakam,Pts+Asts,28.5,36.666666666666664
OG Anunoby,Pts+Asts,16.5,46.15384615384615
Jakob Poeltl,Pts+Asts,12.0,53.333333333333336
Alperen Sengun,Pts+Asts,27.5,37.93103448275862
Tyrese Maxey,Pts+Asts,34.5,41.37931034482759
Fred VanVleet,Pts+Asts,26.5,50.0
Tobias Harris,Pts+Asts,24.5,26.666666666666668
Jalen Green,Pts+Asts,23.0,37.93103448275862
De'Anthony Melton,Pts+Asts,18.5,41.37931034482759
Paul Reed,Pts+Asts,10.5,20.0
Kelly Oubre Jr.,Pts+Asts,15.5,31.57894736842105
Nikola Jokic,Pts+Asts,37.5,43.75
Shai Gilgeous-Alexander,Pts+Asts,38.5,42.857142857142854
Jamal Murray,Pts+Asts,30.5,31.57894736842105
Chet Holmgren,Pts+Asts,19.5,37.93103448275862
Michael Porter Jr.,Pts+Asts,17.5,54.54545454545454
Jalen Williams,Pts+Asts,20.5,57.692307692307686
Luguentz Dort,Pts+Asts,11.5,46.42857142857143
Kevin Durant,Pts+Asts,31.5,80.76923076923077
Brandon Miller,Pts+Asts,18.5,38.46153846153847
Devin Booker,Pts+Asts,32.5,76.19047619047619
Miles Bridges,Pts+Asts,23.5,50.0
Jusuf Nurkic,Pts+Asts,15.5,57.14285714285714
Terry Rozier,Pts+Asts,28.5,63.1578947368421
Grayson Allen,Pts+Asts,14.5,48.0
Nick Richards,Pts+Asts,11.5,39.130434782608695
Bradley Beal,Pts+Asts,18.5,50.0
Devin Vassell,Pts+Asts,26.5,16.0
Jeremy Sochan,Pts+Asts,17.5,40.0
Zach Collins,Pts+Asts,19.5,20.0
Malaki Branham,Pts+Asts,15.0,26.666666666666668
Franz Wagner,3-PT Made,1.5,43.333333333333336
Jalen Suggs,3-PT Made,1.5,53.84615384615385
Jordan Poole,3-PT Made,2.5,37.93103448275862
Tyus Jones,3-PT Made,1.5,43.333333333333336
Cameron Johnson,3-PT Made,2.5,56.52173913043478
